ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 2 name","Attribute 2 value(s)","Attribute 3 name","Attribute 3 value(s)","Attribute 4 name","Attribute 4 value(s)","Attribute 5 name","Attribute 5 value(s)","Meta: _wpcom_is_markdown","Download 1 name","Download 1 URL","Download 2 name","Download 2 URL"
17,variable,MH01,"Chaz Kangeroo Hoodie",1,0,visible,"This is a variable product called a Chaz Kangeroo Hoodie","<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,0,0,0,,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",,,,,,,,,,Size,XS|S|M|L|XL,Color,Black|Gray|Orange,,,,,,,,,,,
11,variation,MH01-L-Black,"Chaz Kangeroo Hoodie-L-Black",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,,,MH01,,,,,,,Size,L,Color,Black,,,,,,,,,,,
12,variation,MH01-L-Gray,"Chaz Kangeroo Hoodie-L-Gray",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",,,MH01,,,,,,,Size,L,Color,Gray,,,,,,,,,,,
13,variation,MH01-L-Orange,"Chaz Kangeroo Hoodie-L-Orange",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,,,MH01,,,,,,,Size,L,Color,Orange,,,,,,,,,,,
8,variation,MH01-M-Black,"Chaz Kangeroo Hoodie-M-Black",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,,,MH01,,,,,,,Size,M,Color,Black,,,,,,,,,,,
9,variation,MH01-M-Gray,"Chaz Kangeroo Hoodie-M-Gray",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",,,MH01,,,,,,,Size,M,Color,Gray,,,,,,,,,,,
10,variation,MH01-M-Orange,"Chaz Kangeroo Hoodie-M-Orange",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,,,MH01,,,,,,,Size,M,Color,Orange,,,,,,,,,,,
5,variation,MH01-S-Black,"Chaz Kangeroo Hoodie-S-Black",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,,,MH01,,,,,,,Size,S,Color,Black,,,,,,,,,,,
6,variation,MH01-S-Gray,"Chaz Kangeroo Hoodie-S-Gray",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",,,MH01,,,,,,,Size,S,Color,Gray,,,,,,,,,,,
7,variation,MH01-S-Orange,"Chaz Kangeroo Hoodie-S-Orange",1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,"Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing",,,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,,,MH01,,,,,,,Size,S,Color,Orange,,,,,,,,,,,
